Home Team Name,Goals Scored,Goals Conceded
Algeria,1,7
Angola,0,1
Argentina,26,7
Australia,7,4
Belgium,10,4
Bosnia and Herzegovina,3,1
Brazil,34,18
Cameroon,4,1
Chile,5,5
China PR,0,0
Colombia,9,6
Costa Rica,6,8
Croatia,3,7
Czech Republic,0,3
Denmark,4,4
Ecuador,4,6
England,8,9
France,9,13
Germany,43,30
Ghana,4,9
Greece,4,2
Honduras,1,0
IR Iran,0,1
Iran,1,1
Ireland,1,5
Italy,13,10
Ivory Coast,5,8
Japan,6,7
Korea DPR,0,1
Korea Republic,13,7
Mexico,7,12
Netherlands,15,20
New Zealand,1,1
Nigeria,5,2
Paraguay,4,7
Poland,3,2
Portugal,18,6
Russia,3,3
Saudi Arabia,0,2
Senegal,3,4
Serbia,0,2
Serbia and Montenegro,0,2
Slovakia,3,2
Slovenia,3,2
South Africa,4,4
Spain,19,12
Sweden,7,1
Switzerland,6,6
Togo,0,1
Trinidad and Tobago,0,0
Tunisia,3,1
Turkey,3,7
USA,7,13
Ukraine,1,4
Uruguay,11,8
