Country,Total Points,Goals Scored,Goals Conceded
Togo,1140.88,0,1
Trinidad and Tobago,1199.74,0,0
Korea DPR,1169.96,0,1
Angola,1169.07,0,1
IR Iran,1556.59,0,1
Sweden,1547.11,7,1
Ukraine,1541.25,1,4
Serbia,1539.03,0,2
Poland,1536.99,3,2
Australia,1530.45,7,4
Korea Republic,1529.3,13,7
Japan,1595.96,6,7
Tunisia,1516.66,3,1
Algeria,1511.23,1,7
Russia,1495.53,3,3
Nigeria,1486.48,5,2
Ecuador,1486.47,4,6
Cameroon,1470.97,4,1
Chile,1511.31,5,5
Denmark,1597.37,4,4
Colombia,1624.91,9,6
Argentina,1843.73,26,7
France,1843.54,9,13
Brazil,1828.27,34,18
England,1797.39,8,9
Senegal,1612.61,3,4
Belgium,1788.55,10,4
Netherlands,1731.23,15,20
Italy,1726.58,13,10
Portugal,1718.25,18,6
Spain,1703.45,19,12
USA,1674.48,7,13
Mexico,1665.59,7,12
Switzerland,1661.12,6,6
Germany,1636.32,43,30
Uruguay,1633.13,11,8
Croatia,1742.55,3,7
Costa Rica,1453.56,6,8
Honduras,1309.23,1,0
China PR,1304.78,0,0
Slovakia,1447.05,3,2
Paraguay,1442.64,4,7
Greece,1441.06,4,2
Saudi Arabia,1421.46,0,2
Ghana,1391.13,4,9
Slovenia,1391.04,3,2
Bosnia and Herzegovina,1381.1,3,1
South Africa,1368.25,4,4
